insider_name,insider_role,company_name,company_cik,filing_date,filing
Smith Aaron J,['Officer'],Fairway Private Equity Venture Capital Fund,0001877967,2021-10-15,0001398344-21-020344
Hardwick M Susan,['Officer'],"American Water Works Company, Inc.",0001410636,2019-06-03,0001410636-19-000113
Stewart Robert B Jr,['Director'],"Super League Gaming, Inc.",0001621672,2019-03-07,0001415889-19-000289
Guthrie Stephen Edward,['Officer'],"HAWTHORN BANCSHARES, INC.",0000893847,2020-05-20,0001415889-20-001283
Ackermann Cathy G,['Director'],SMARTFINANCIAL INC.,0001038773,2022-02-23,0001415889-22-001668
Lee Jeannie,['Officer'],"DIGITAL REALTY TRUST, INC.",0001297996,2022-05-02,0001415889-22-004469
Ingvaldson Eric,['Officer'],Pineapple Energy Inc.,0000022701,2022-10-12,0001415889-22-010480
Michael W. Schechter,['Director'],SAGA COMMUNICATIONS INC,0000886136,2023-05-17,0001415889-23-008206
Coomer Anirvan,['Director'],SES AI Corp,0001819142,2023-11-09,0001415889-23-014947
Suh Sung-Hee,['Other'],PIMCO MUNICIPAL INCOME FUND II,0001170299,2024-01-04,0001415889-24-000710
Narain Shivanand,['Officer'],PIMCO Flexible Municipal Income Fund,0001723701,2024-01-17,0001415889-24-001291
Pacetti Laine Elizabeth,['Officer'],PIMCO Flexible Municipal Income Fund,0001723701,2024-01-17,0001415889-24-001324
Wildermuth Paul Thomas,['Officer'],PIMCO Dynamic Income Fund,0001510599,2024-01-17,0001415889-24-001345
Mansfield Erin,['Director'],"Cboe Global Markets, Inc.",0001374310,2024-02-12,0001415889-24-003385
Bleznick Jordan,['Director'],"CVR PARTNERS, LP",0001425292,2023-03-24,0001425292-23-000014
Harroz Joseph Jr,['Director'],"DELAWARE INVESTMENTS MINNESOTA MUNICIPAL INCOME FUND II, INC",0000895658,2021-05-03,0001427387-21-000006
Holloway Elizabeth Bugg,['Director'],"ServisFirst Bancshares, Inc.",0001430723,2023-04-19,0001430723-23-000011
Martin Timothy J,['Officer'],TransUnion,0001552033,2019-05-16,0001434495-19-000002
CUMMINS MARC G,['Director'],"CATASYS, INC.",0001136174,2018-03-15,0001437749-18-004690
"Spot Light Investments, LLC",['10% Owner'],HF Foods Group Inc.,0001680873,2019-11-14,0001437749-19-022988
Chilton Linda M,['Officer'],"Eagle Bancorp Montana, Inc.",0001478454,2020-01-08,0001437749-20-000341
Hauf Jason W.,['Officer'],"BGC Partners, Inc.",0001094831,2022-06-13,0001437749-22-014880
Swift Sibyl Nichole,['Director'],"cbdMD, Inc.",0001644903,2022-08-11,0001437749-22-020195
KRAL JESSICA,['Officer'],ModivCare Inc,0001220754,2023-06-07,0001437749-23-016891
Heagy Eric J.,"['Director', 'Officer']","PFS Bancorp, Inc.",0001967656,2023-10-16,0001437749-23-028388
Lane Nick,['Director'],ALLIANCEBERNSTEIN HOLDING L.P.,0000825313,2019-04-01,0001441552-19-000004
FRISKE SCOTT MICHAEL,['Other'],FIRST TRUST ENHANCED EQUITY INCOME FUND,0001291334,2020-07-02,0001445546-20-003242
PURPURA ORLANDO,['Other (Portfolio Manager)'],FIRST TRUST SENIOR FLOATING RATE 2022 TARGET TERM FUND,0001687081,2020-08-17,0001445546-20-003923
Gonzalez Rachel A,['Director'],ELECTRONIC ARTS INC.,0000712515,2021-11-24,0001454387-21-000006
Verbarendse Michael Bryan,['Officer'],AMERICOLD REALTY TRUST,0001455863,2023-08-30,0001455863-23-000047
Shull David M,"['Director', 'Officer']",PLANTRONICS INC /CA/,0000914025,2020-09-09,0001463252-20-000035
GREENBERG WILLIAM ROSS,['Officer'],TWO HARBORS INVESTMENT CORP.,0001465740,2020-01-06,0001465740-20-000006
Solimene Lewis,['Officer'],MONROE CAPITAL Corp,0001512931,2022-06-30,0001474506-22-000076
CLEMENTS JAMES P,['Director'],"United Homes Group, Inc.",0001830188,2023-04-03,0001474506-23-000149
Nieri Michael P.,"['Director', 'Officer', '10% Owner']","United Homes Group, Inc.",0001830188,2023-04-03,0001474506-23-000158
Seto Yueh Eric,['Director'],Integrated Wellness Acquisition Corp,0001877557,2024-02-20,0001474506-24-000063
Salkind Gene Z,['Director'],Cure Pharmaceutical Holding Corp.,0001643301,2019-02-12,0001477932-19-000478
First Choice Marketing Group LLC,['10% Owner'],"Crucial Innovations, Corp.",0001766016,2021-05-11,0001477932-21-003009
PIANCONE SANDRO,"['Director', 'Officer', '10% Owner']","Hempacco Co., Inc.",0001892480,2022-08-31,0001477932-22-006586
Innovative Digital Investors Emerging Technology LP,['10% Owner'],"BITMINE IMMERSION TECHNOLOGIES, INC.",0001829311,2022-11-02,0001477932-22-008127
Garayev Elshad,"['Officer', 'CFO']",Flora Growth Corp.,0001790169,2023-01-03,0001477932-23-000047
Ryan Tarkington,['Officer'],"Thermon Group Holdings, Inc.",0001489096,2019-05-28,0001489096-19-000090
Grbelja Thomas Michael,"['Director', '10% Owner']","NuSTATE ENERGY HOLDINGS, INC.",0001082733,2018-02-15,0001493152-18-002226
Formant Christopher,['Director'],ID SYSTEMS INC,0000049615,2018-06-19,0001493152-18-008973
Mohan Pankaj,"['Director', 'Officer', 'Chairman, President and CEO']","Sonnet BioTherapeutics Holdings, Inc.",0001106838,2020-04-03,0001493152-20-005836
Kerwin Pamela,['Officer'],"Resonate Blends, Inc.",0000897078,2020-04-20,0001493152-20-006730
Jones Brendan Sean,"['Officer', 'Chief Operating Officer']",Blink Charging Co.,0001429764,2020-04-28,0001493152-20-007198
TOWERS CHRISTOPHER,['Director'],GBS Inc.,0001725430,2020-12-30,0001493152-20-024553
Erickson Bruce Kipp,['Officer'],Big Cypress Acquisition Corp.,0001833214,2021-10-22,0001493152-21-026148
Shum Steve,['Director'],"CalEthos, Inc.",0001174891,2021-11-10,0001493152-21-027863
Weinzierl John A,"['Director', '10% Owner', 'Other']",US ENERGY CORP,0000101594,2022-01-31,0001493152-22-002756
Matis Neta,['Officer'],Save Foods Inc.,0001789192,2022-02-02,0001493152-22-002949
Wei Rongguo,['Officer'],Alset Capital Acquisition Corp.,0001897245,2022-02-08,0001493152-22-003473
Kohen Ran Roland,"['Director', 'Officer', '10% Owner']",SQL Technologies Corp.,0001598981,2022-02-09,0001493152-22-003670
JACOB GARY S,"['Director', 'Officer']",OKYO Pharma Ltd,0001849296,2022-05-16,0001493152-22-013996
Prue Nigel,['Officer'],"SmartKem, Inc.",0001817760,2022-09-08,0001493152-22-025316
Sickles Ashley Elizabeth,['Officer'],"Greenwave Technology Solutions, Inc.",0001589149,2022-09-21,0001493152-22-026471
RICE YEHUDA MICHAEL,['Director'],Vascular Biogenics Ltd.,0001603207,2023-01-03,0001493152-23-000179
Whittle Mark Anthony,['Officer'],Amergent Hospitality Group Inc.,0001805024,2023-01-19,0001493152-23-001885
Krempa David,['Officer'],"Eton Pharmaceuticals, Inc.",0001710340,2023-03-08,0001493152-23-006995
Vaknin Avishai,['Officer'],EzFill Holdings Inc,0001817004,2023-05-04,0001493152-23-015408
SLS GROUP LLC,['10% Owner'],Syra Health Corp,0001922335,2023-09-28,0001493152-23-034698
Ketan Paranjape,['Director'],Syra Health Corp,0001922335,2023-10-03,0001493152-23-035253
HACKETT TODD RAYMOND,"['Director', 'Chief Executive Officer']","PCS Edventures!, Inc.",0001122020,2023-12-11,0001493152-23-044349
Barber Kevin D,['Director'],INTEVAC INC,0001001902,2018-02-26,0001503453-18-000015
Clark Richard Ryan,['Officer'],Kosmos Energy Ltd.,0001509991,2018-09-25,0001509991-18-000056
Costa Michael Lourenco,['Officer'],"Sabra Health Care REIT, Inc.",0001492298,2021-01-13,0001510192-21-000010
Cusack Catherine,['Director'],"Sabra Health Care REIT, Inc.",0001492298,2021-01-13,0001510192-21-000011
Weinstein Boaz,['10% Owner'],TKB Critical Technologies 1,0001860514,2022-05-26,0001510281-22-000109
Boaz Weinstein,['10% Owner'],GOLDMAN SACHS MLP & ENERGY RENAISSANCE FUND,0001612875,2023-02-09,0001510281-23-000020
Jorgensen Paul W.,['Officer'],"Doximity, Inc.",0001516513,2022-04-01,0001516513-22-000021
Bodner Charles R,['Officer'],BECTON DICKINSON & CO,0000010795,2018-07-09,0001543407-18-000049
BARBERA ISABELLA,['Officer'],"BASANITE, INC.",0001448705,2019-07-02,0001553350-19-000684
Emmons Clifford L,"['Director', 'Officer']","IIOT-OXYS, Inc.",0001290658,2018-06-11,0001553997-18-000022
DUBLON DINA,['Director'],PRICE T ROWE GROUP INC,0001113169,2019-06-14,0001562180-19-003518
Ward Whitney,['Officer'],COMSTOCK RESOURCES INC,0000023194,2019-07-19,0001562180-19-004003
Said Maya R.,['Director'],"PIERIS PHARMACEUTICALS, INC.",0001583648,2019-08-01,0001562180-19-004129
Oyolu Chukwuemeka A.,['Officer'],LyondellBasell Industries N.V.,0001489393,2021-08-06,0001562180-21-005222
TOCIO MARY ANN,['Director'],1Life Healthcare Inc,0001404123,2021-09-03,0001562180-21-005843
Bahl Jeremy,['Officer'],UNITED FIRE GROUP INC,0000101199,2022-05-24,0001562180-22-004368
Tiedeman Forrest,['Officer'],CIRCOR INTERNATIONAL INC,0001091883,2022-10-05,0001562180-22-007087
Gunzburg Janet,['Officer'],"Phreesia, Inc.",0001412408,2023-03-28,0001562180-23-003144
Griffin Rita E,['Director'],LyondellBasell Industries N.V.,0001489393,2023-05-19,0001562180-23-004372
Theodosopoulos Nikos,['Director'],"Hercules Capital, Inc.",0001280784,2023-09-25,0001562180-23-007018
Bove David G,['Officer'],UNITY BANCORP INC /NJ/,0000920427,2023-12-27,0001562180-23-008561
Malhotra Atul,['Officer'],FULTON FINANCIAL CORP,0000700564,2024-02-16,0001562180-24-001354
Jonathan Green,['10% Owner'],"Meet Group, Inc.",0001078099,2018-09-10,0001567619-18-002365
Moscato Robert Jr.,['10% Owner'],Cerecor Inc.,0001534120,2018-10-17,0001567619-18-004311
Helsel Dave,['Officer'],ANGIODYNAMICS INC,0001275187,2019-02-01,0001567619-19-002164
"Etzioni Partners, LLC",['10% Owner'],BRIDGE BANCORP INC,0000846617,2019-02-08,0001567619-19-002810
Carl C. Icahn,['10% Owner'],CAESARS ENTERTAINMENT Corp,0000858339,2019-03-12,0001567619-19-006698
Niemietz Kurt A.,['Officer'],KIRBY CORP,0000056047,2019-04-03,0001567619-19-008269
SOLAND DANIEL B,['Director'],"KalVista Pharmaceuticals, Inc.",0001348911,2019-04-24,0001567619-19-009058
Iskow Julie,['Director'],"VOCERA COMMUNICATIONS, INC.",0001129260,2019-06-04,0001567619-19-012787
Chang John B.,['Officer'],"COGENT COMMUNICATIONS HOLDINGS, INC.",0001158324,2019-08-07,0001567619-19-015918
Kathleen T. Barr,['Director'],"Muzinich BDC, Inc.",0001779523,2019-08-16,0001567619-19-017332
Aji Rajesh A.,['Officer'],"Bill.com Holdings, Inc.",0001786352,2019-12-11,0001567619-19-022906
Chao David K,"['Director', '10% Owner']","Bill.com Holdings, Inc.",0001786352,2019-12-11,0001567619-19-022908
Nyce Chad D,['Officer'],LINCOLN EDUCATIONAL SERVICES CORP,0001286613,2020-03-04,0001567619-20-005563
GSAM Holdings LLC,['10% Owner'],Goldman Sachs Credit Income Fund,0001796233,2020-03-16,0001567619-20-006462
"GOLDMAN SACHS ASSET MANAGEMENT, L.P.",['Other'],Goldman Sachs Real Estate Diversified Income Fund,0001796242,2020-03-16,0001567619-20-006485
Reich Robin S,['Director'],"Community First Bancshares, Inc.",0001691507,2020-04-03,0001567619-20-007491
Renz Justin A,['Officer'],"ARDELYX, INC.",0001437402,2020-06-08,0001567619-20-011862
Ryan J. Channell,['Officer'],TORTOISE ENERGY INFRASTRUCTURE CORP,0001268533,2020-06-25,0001567619-20-012591
Fairmount Funds Management LLC,['10% Owner'],Unum Therapeutics Inc.,0001622229,2020-07-08,0001567619-20-013082
Overdorf Michael,['Officer'],"Annexon, Inc.",0001528115,2020-07-23,0001567619-20-013656
BAKKEN SCOTT,['Officer'],ENERGY FUELS INC,0001385849,2020-09-01,0001567619-20-016331
Elinor F. Urstadt,"['10% Owner', 'Other']",URSTADT BIDDLE PROPERTIES INC,0001029800,2020-09-08,0001567619-20-016559
Brinker Neil David,"['Director', 'Officer']",MODINE MANUFACTURING CO,0000067347,2020-12-03,0001567619-20-020594
Daniel S. Loeb,['10% Owner'],"Upstart Holdings, Inc.",0001647639,2020-12-15,0001567619-20-021152
LOCKHART H EUGENE,['Director'],"ALKAMI TECHNOLOGY, INC.",0001529274,2021-04-13,0001567619-21-007986
"Insight Holdings Group, LLC",['10% Owner'],"SentinelOne, Inc.",0001583708,2021-07-06,0001567619-21-013043
Chen Bihua,['10% Owner'],"Tyra Biosciences, Inc.",0001863127,2021-09-14,0001567619-21-017067
Chen Bihua,['10% Owner'],"Pyxis Oncology, Inc.",0001782223,2021-10-07,0001567619-21-018043
Porter Stacey L.,"['Officer', 'Chief People Officer']","Outset Medical, Inc.",0001484612,2021-10-21,0001567619-21-018546
HENDRICKS RANDY J,"['Director', 'Officer']",Zovio Inc,0001305323,2021-12-08,0001567619-21-021782
Khan Adeel,['Officer'],"PS BUSINESS PARKS, INC./MD",0000866368,2022-01-11,0001567619-22-001024
Insight North America LLC,['Other'],"BNY MELLON MUNICIPAL INCOME, INC.",0000839122,2022-01-24,0001567619-22-001574
Moody Kylee J,['Officer'],"VWF Bancorp, Inc.",0001913838,2022-07-13,0001567619-22-013976
Papermaster Mark D,['Director'],"SMART Global Holdings, Inc.",0001616533,2022-09-01,0001567619-22-016939
Hada Tejraj S,['Director'],GREENE COUNTY BANCORP INC,0001070524,2022-11-07,0001567619-22-019223
Carrig Janet,['Director'],"Columbia Seligman Premium Technology Growth Fund, Inc.",0001471420,2023-01-04,0001567619-23-000082
Cahill Michael D,"['Director', 'Officer']","VWF Bancorp, Inc.",0001913838,2023-01-05,0001567619-23-000418
Tremblay Jean,['Officer'],"First Seacoast Bancorp, Inc.",0001943802,2023-01-19,0001567619-23-001011
FLEX LTD.,['10% Owner'],Nextracker Inc.,0001852131,2023-02-13,0001567619-23-002652
Thomas-Mackey Erinn,['Director'],"INSPIRE VETERINARY PARTNERS, INC.",0001939365,2023-09-27,0001575872-23-001489
Winn Kurt W.,"['Director', 'Officer']",Northann Corp.,0001923780,2023-10-31,0001575872-23-001686
Lande Jerome J.,['Director'],"Forest City Realty Trust, Inc.",0001647509,2018-04-25,0001578266-18-000003
Haigh Jason Thomas,['Other'],Versus Capital Multi-Manager Real Estate Income Fund LLC,0001515001,2021-10-26,0001579688-21-000004
MARTIN PATRICK,['Officer'],OUTFRONT Media Inc.,0001579877,2020-11-25,0001579877-20-000114
Mooney Edward Patrick Jr.,['Director'],PREDEX,0001568905,2022-07-24,0001580642-22-003694
Peichel William J,['Director'],Princeton Everest Fund,0001620515,2023-06-09,0001580642-23-003178
Mark G. St. George,['Officer'],EVANS BANCORP INC,0000842518,2019-04-08,0001593968-19-000939
Macadam Stephen E.,['Director'],Veritiv Corp,0001599489,2020-02-20,0001593968-20-000468
MOORE TIMOTHY L.,['Officer'],"Allogene Therapeutics, Inc.",0001737287,2023-04-26,0001593968-23-000642
Vest Ruskin Alexander,['Director'],"Reliant Bancorp, Inc.",0001606440,2018-01-09,0001595103-18-000001
Feldman Jonathan,['Officer'],"RUBICON PROJECT, INC.",0001595974,2018-06-29,0001595974-18-000064
WARMBIER KIMBERLY,['Officer'],Sabre Corp,0001597033,2018-07-10,0001597033-18-000103
KINTNER TIMOTHY ROY,['Officer'],"Great Western Bancorp, Inc.",0001613665,2018-03-02,0001613665-18-000028
Siegler Mike,['Officer'],COMMUNICATIONS SYSTEMS INC,0000022701,2021-01-08,0001615594-21-000004
Upham Loraine,['Officer'],"Boston Therapeutics, Inc.",0001473579,2018-03-06,0001615774-18-001671
Choi Yun Jung,['Officer'],Vista Outdoor Inc.,0001616318,2023-10-23,0001616318-23-000152
STANDLEY JOHN T,['Officer'],"Walgreens Boots Alliance, Inc.",0001618921,2020-09-02,0001618921-20-000069
DRISCOLL JOHN PATRICK,['Officer'],"Walgreens Boots Alliance, Inc.",0001618921,2022-10-27,0001618921-22-000066
Huffines Robert Luther,['Director'],"Walgreens Boots Alliance, Inc.",0001618921,2024-01-29,0001618921-24-000017
Kane Erin N,['Director'],Chemours Co,0001627223,2019-06-27,0001627223-19-000039
Madrona Investment Partners III,['10% Owner'],SMARTSHEET INC,0001366561,2018-04-26,0001628280-18-005163
LEWIN NICHOLAS SHERIDAN,"['Director', '10% Owner']",ESTABLISHMENT LABS HOLDINGS INC.,0001688757,2018-07-18,0001628280-18-009340
Kayyem Jon Faiz,"['Director', '10% Owner']","Inhibrx, Inc.",0001739614,2020-08-18,0001628280-20-012830
Wagner Klaus W.,['Officer'],"Inhibrx, Inc.",0001739614,2020-08-18,0001628280-20-012833
Robinson Todd Allen,['Officer'],"Renewable Energy Group, Inc.",0001463258,2020-12-09,0001628280-20-017288
Marcela V. Maus,['Director'],"2seventy bio, Inc.",0001860782,2021-10-18,0001628280-21-020182
Glickman Sarah JS,['Director'],"2seventy bio, Inc.",0001860782,2021-10-18,0001628280-21-020184
Gupta Anurag,['Officer (EVP of Engineering)'],"Velodyne Lidar, Inc.",0001745317,2022-02-04,0001628280-22-001873
WILLIAMS JENNIFER D.,['Officer'],R1 RCM Inc. /DE,0001910851,2023-01-13,0001628280-23-001049
Ahsan Jawad A,['Director'],FARO TECHNOLOGIES INC,0000917491,2023-02-02,0001628280-23-002036
Gustanski Mary,['Director'],"Amprius Technologies, Inc.",0001899287,2023-06-15,0001628280-23-022227
McGrath Christine Montenegro,['Director'],Reynolds Consumer Products Inc.,0001786431,2023-09-27,0001628280-23-033107
Shams Aammaad,"['Officer', 'Controller/Prin. Acct. Officer']","Evolent Health, Inc.",0001628908,2020-06-22,0001628908-20-000088
LEVITT MICHAEL J,['Director'],Kayne Anderson MLP/Midstream Investment Co,0001293613,2020-07-02,0001638397-20-000006
Walker Carita,['Director'],"Kayne Anderson NextGen Energy & Infrastructure, Inc.",0001500096,2022-06-30,0001638397-22-000014
Rowe Michael M,['Officer'],"EYENOVIA, INC.",0001682639,2018-07-03,0001638599-18-000720
Julian C. Baker,['Director'],"Aeglea BioTherapeutics, Inc.",0001636282,2021-02-25,0001638599-21-000271
Mildenhall Jonathan,['Director'],"PELOTON INTERACTIVE, INC.",0001639825,2022-02-10,0001639825-22-000026
Chan Chantel,['Officer'],NAMI Corp.,0001567388,2019-04-18,0001640334-19-000657
Ming Tracy,['Officer'],T Stamp Inc,0001718939,2022-02-04,0001644600-22-000017
Wang Lai,['Officer'],"BeiGene, Ltd.",0001651308,2021-04-09,0001651308-21-000065
Rees Simon,['Officer'],Sincerity Applied Materials Holdings Corp.,0001532595,2018-04-13,0001654954-18-003912
Lee Wang Kei,['Officer'],HotApp Blockchain Inc.,0001600347,2020-09-11,0001654954-20-010008
tsai chung-jung,['Director'],"Ainos, Inc.",0001014763,2021-04-28,0001654954-21-004756
Carson Benjamin Jr.,['Director'],"Charge Enterprises, Inc.",0001277250,2022-04-11,0001654954-22-004819
Bills David G,['Director'],LYDALL INC /DE/,0000060977,2018-05-01,0001657971-18-000016
BEXIGA ANNABELLE G,['Director'],Triton International Ltd,0001660734,2020-07-02,0001660734-20-000054
Rubano Debra,['Officer'],PGIM Short Duration High Yield Opportunities Fund,0001812923,2020-12-11,0001663201-20-000004
Brett Conrad,['10% Owner'],ENDRA Life Sciences Inc.,0001681682,2018-04-19,0001683168-18-001043
Cassels John Hamilton,['Officer'],"CANNAPHARMARX, INC.",0001081938,2020-02-04,0001683168-20-000363
Meglin Allen James,['Director'],"Organicell Regenerative Medicine, Inc.",0001557376,2020-08-06,0001683168-20-002543
Tong Raymond CF,['Director'],"PharmaCyte Biotech, Inc.",0001157075,2021-08-20,0001683168-21-003826
Snow Susan H,['Director'],NeoVolta Inc.,0001748137,2022-07-27,0001683168-22-005170
Willson Brent,['Director'],NeoVolta Inc.,0001748137,2022-07-27,0001683168-22-005172
Chang Chris,['Director'],ConneXionONE Corp.,0001182731,2023-07-05,0001683168-23-004653
Achanta Venkat,['Officer'],TransUnion,0001552033,2022-02-10,0001687957-22-000004
Rettinger Erich,['Officer'],Clough Global Equity Fund,0001316463,2021-06-10,0001688010-21-000002
Schafer Jerry,['Director'],"StarTek, Inc.",0001031029,2019-04-01,0001693731-19-000026
Thorsen Wayne,"['Officer', 'EVP, Chief Business Officer']",ADT Inc.,0001703056,2023-01-09,0001703056-23-000035
Moore Christopher,['Officer'],REAVES UTILITY INCOME FUND,0001263994,2022-10-13,0001708553-22-000001
Brendan J. Paddick,['Director'],Liberty Latin America Ltd.,0001712184,20180104,0001712184-18-000028
"John P. Calamos, Sr.","['Director', 'Officer']",Calamos Long/Short Equity & Dynamic Income Trust,0001717457,2019-11-25,0001717457-19-000003
Nathan Romney 2021 Family Trust,"['10% Owner', 'Other']","Goosehead Insurance, Inc.",0001726978,2021-03-08,0001726978-21-000045
Eric Pharis,['10% Owner'],BLACKBOXSTOCKS INC.,0001567900,2018-01-10,0001727674-18-000001
PERTCHIK JONATHAN,['Director'],Nikola Corp,0001731289,2023-12-18,0001731289-23-000325
CAMPBELL MICHAEL E,['Director'],WestRock Co,0001732845,2018-11-06,0001732845-18-000073
Martin Edward C,['Officer'],AMERICAN NATIONAL BANKSHARES INC.,0000741516,2018-02-28,0001732998-18-000001
Hennigan Thomas M,['Officer'],Carlyle Secured Lending III,0001851277,2021-08-30,0001734741-21-000006
Choi Lin Hung,"['Director', 'Officer', '10% Owner']","Jerash Holdings (US), Inc.",0001696558,2018-05-02,0001738702-18-000002
Noyes Richard Craig,['Other'],"RIVERNORTH OPPORTUNITIES FUND, INC.",0001501072,2018-06-11,0001743003-18-000003
Tomoo Yoshida,"['Director', '10% Owner']","Exceed World, Inc.",0001634293,2018-10-04,0001753630-18-000001
Root Teri R,['Officer'],Principal Diversified Select Real Asset Fund,0001756404,2019-06-27,0001756404-19-000055
Dixon Troy,['Director'],Tradeweb Markets Inc.,0001758730,2023-03-01,0001758730-23-000064
Moregain Capital Group,['10% Owner'],"Moregain Pictures, Inc.",0000921560,2019-01-08,0001763811-19-000001
Richard Roedel,['Director'],CLARIVATE Plc,0001764046,2020-12-30,0001764046-20-000128
IYER BALAKRISHNAN S,['Director'],CLARIVATE Plc,0001764046,2020-12-30,0001764046-20-000133
Shaolin Capital Management LLC,['10% Owner'],Model Performance Acquisition Corp,0001841993,2022-12-14,0001766806-22-000064
Powelson Robert F,['Director'],CAPSTONE TURBINE Corp,0001009759,2019-06-14,0001770907-19-000013
Nijhawan Pardeep,"['Director', 'Officer', '10% Owner']","Edesa Biotech, Inc.",0001540159,2019-06-11,0001777962-19-000001
DiPetrillo David,['Officer'],"BNY Mellon Municipal Bond Infrastructure Fund, Inc.",0001565381,2019-06-03,0001778162-19-000003
John J. Tedone,['Officer'],LYDALL INC /DE/,0000060977,2020-05-05,0001780989-20-000029
Skeoch Keith,['Other'],Aberdeen Income Credit Strategies Fund,0001503290,2019-09-30,0001789160-19-000008
Carr Justin P,['Other'],WELLS FARGO GLOBAL DIVIDEND OPPORTUNITY FUND,0001386067,2019-10-17,0001791409-19-000002
Nemer Gary Joel,['Director'],"Financial Gravity Companies, Inc.",0001377167,2019-11-15,0001794360-19-000001
Clement Ryan Moore,['Officer'],"SelectQuote, Inc.",0001794783,2022-06-10,0001794783-22-000039
Matthews Joshua Brandon,['Officer'],"SelectQuote, Inc.",0001794783,2023-08-18,0001794783-23-000088
Ostolaza Yvette,['Director'],LIONS GATE ENTERTAINMENT CORP /CN/,0000929351,2019-12-18,0001796999-19-000001
Maletira Amar,['Officer'],"Rackspace Technology, Inc.",0001810019,2020-11-23,0001810019-20-000053
SINHA DHARMENDRA KUMAR,['Officer'],"Rackspace Technology, Inc.",0001810019,2022-07-19,0001810019-22-000121
COURTNEY M. CICIORA TRUST,['10% Owner'],BOULDER GROWTH & INCOME FUND,0000102426,2020-05-12,0001811370-20-000002
Weber Stephen B,['Officer'],Southern National Bancorp of Virginia Inc,0001325670,2020-05-11,0001811562-20-000001
Hamady Robert Ramsey,['Officer'],NUSCALE POWER Corp,0001822966,2023-08-15,0001822966-23-000211
Paris Rod,['Other'],Aberdeen Income Credit Strategies Fund,0001503290,2020-10-16,0001828826-20-000005
Trempont Dominique,['Director'],Airspan Networks Holdings Inc.,0001823882,2021-08-13,0001829126-21-008166
Schultz Jacob G.,['Officer'],Destra Multi-Alternative Fund,0001523289,2022-07-27,0001829126-22-014714
Willis Karrie,['Director'],PORTAGE FINTECH ACQUISITION CORP.,0001853580,2023-07-31,0001829126-23-005059
Shetkar Narayan,['Officer'],"Aeries Technology, Inc.",0001853044,2023-11-16,0001829126-23-007520
Ward Edward D,['Director'],"Hayward Holdings, Inc.",0001834622,2022-05-20,0001834622-22-000057
RAY JOYCELYN M,['Director'],UNICO AMERICAN CORP,0000100716,2020-12-03,0001834764-20-000002
VanDelinder Brian,['Officer'],John Hancock GA Senior Loan Trust,0001742951,2023-10-16,0001839544-23-000017
Pierozzi Lisa,['Director'],RESOURCES CONNECTION INC,0001084765,2021-02-01,0001842885-21-000003
Esser Eric Eugene,['Officer'],"Codex DNA, Inc.",0001850079,2022-06-17,0001850079-22-000059
Yankilevich Helen,['Officer'],"Partners Group Private Equity (Master Fund), LLC",0001447247,2021-03-26,0001853548-21-000001
McBride Kelly P,['Officer'],"Krispy Kreme, Inc.",0001857154,2023-05-18,0001857154-23-000076
Singisetti Ravi Kumar,['Director'],TransUnion,0001552033,2022-07-11,0001872870-22-000002
DePree Alexis,['Director'],"Arhaus, Inc.",0001875444,2023-03-13,0001875444-23-000026
BERG DONALD C,['Director'],Meredith Holdings Corp,0001880863,2021-11-12,0001880863-21-000032
"Orchard Investments, LLC",['10% Owner'],OFS Capital Corp,0001487918,2021-09-27,0001882907-21-000008
Baumgart Jonathan,['Director'],"FDCTECH, INC.",0001722731,2023-09-18,0001884657-23-000002
Sulaiman Dalya,['Director'],BLACKBOXSTOCKS INC.,0001567900,2021-11-04,0001889705-21-000001
DeVooght Vilma,['Officer'],Partners Group Next Generation Infrastructure LLC,0001989393,2024-02-16,0001904022-24-000002
D'Antilio Derek,['Officer'],"ALLEGRO MICROSYSTEMS, INC.",0000866291,2022-01-12,0001904082-22-000002
Kasturi Rohini,['Officer'],SolarWinds Corp,0001739942,2022-03-01,0001912195-22-000002
Hadley Michael,['Officer'],"Carlyle Secured Lending, Inc.",0001544206,2022-04-12,0001913643-22-000006
Slape Doug,['Director'],HALLMARK FINANCIAL SERVICES INC,0000819913,2022-06-13,0001914789-22-000003
HOUSTON JAMES C,['Officer'],DAVEY TREE EXPERT CO,0000277638,2022-05-19,0001929436-22-000002
Yuan Ri (Richard),['Officer'],Tristar Acquisition I Corp.,0001852736,2023-09-14,0001929980-23-000205
Bright Darin,['10% Owner'],"PGIM Private Real Estate Fund, Inc.",0001875084,2022-07-06,0001934577-22-000001
Liddle Mary Elizabeth,['Officer'],QNB CORP,0000750558,2022-08-02,0001940909-22-000001
Nicholas Adams,['Other'],Clough Global Equity Fund,0001316463,2022-10-05,0001949730-22-000002
McNeila Joseph,['Officer'],Monachil Credit Income Fund,0001867714,2022-11-09,0001953805-22-000001
Jiang Ping,['Other'],"BNY MELLON STRATEGIC MUNICIPALS, INC.",0000818972,2023-08-03,0001987389-23-000006
Branner Peter,['Other'],abrdn Global Dynamic Dividend Fund,0001362481,2023-11-06,0001999438-23-000003
Li Zhijie,['Director'],Longduoduo Co Ltd,0001892316,2023-12-11,0002003997-23-000001
